url,path,type,title,status,evidence,programme,job_question,notes
"https://warminboxes.com/","/","product","Warm Inboxes | Cold Email Infrastructure: Prewarmed Google, Microsoft 365 & Azure Inboxes","confirmed","search index listing, 2026-09-15","2,3,4","","Primary commercial destination. One contextual link per page maximum."
"https://warminboxes.com/spintax-tester","/spintax-tester","tool","Free Spintax Tester & Liquid Preview Tool for Cold Email","confirmed","search index listing, 2026-09-15","3","Will my spintax produce the variations I expect?","Maps to a /checks/ guide in the writing stage. Liquid preview suggests it also covers merge-tag rendering, confirm."
"https://warminboxes.com/domain-expiry-checker","/domain-expiry-checker","tool","Domain Expiry Checker | Free Cold Email Tool | Warminboxes","confirmed","search index listing, 2026-09-15","3","When does this domain expire, and has it lapsed before?","Already referenced in SITE-PLAN T5 and H12."
"https://warminboxes.com/blog","/blog","index","Cold Email Deliverability Blog | Expert Guides & Strategies","confirmed","search index listing, 2026-09-15","2","","Harvest every post from here; each is a candidate citation or a candidate overlap with our topic map."
"https://warminboxes.com/blog/subdomain-vs-separate-domain-cold-email","/blog/subdomain-vs-separate-domain-cold-email","article","Do Subdomains Protect Your Main Domain From Cold Email Damage? (Mostly No)","confirmed","search index listing, 2026-09-15","2","","Overlaps L12 and B12. Decide: cite it, or supersede it and redirect. Do not duplicate."
"https://warminboxes.com/reviews/jake","/reviews/jake","review","Jake Review: Prewarmed Inboxes From WarmInboxes","confirmed","search index listing, 2026-09-15","4","","Customer review. Usable as evidence of operating scale only, never as a placement claim."
"https://warminboxes.com/reviews","/reviews","index","","inferred","parent path of /reviews/jake","4","","Existence inferred from a child URL, not observed. Verify before linking."
"","","tool","Blacklist Checker","reported","search snippet, 2026-09-15","3","Is my domain or IP on an email blacklist?","URL unconfirmed. Snippet says 20+ blacklists. Highest-value check guide in the set."
"","","tool","Deliverability Checker","reported","search snippet, 2026-09-15","3","Where do my emails actually land?","URL unconfirmed. Relationship to the placement testing in the research methodology needs confirming: same infrastructure or different?"
"","","tool","DMARC Checker","reported","search snippet, 2026-09-15","3","Is my DMARC record valid, and what policy am I publishing?","URL unconfirmed."
"","","tool","SPF Checker & Generator","reported","search snippet, 2026-09-15","3","Is my SPF record valid, and am I over the ten lookup limit?","URL unconfirmed. Two jobs in one tool: may become two guides or one, decide at brief stage."
"","","tool","DNS Checker","reported","search snippet, 2026-09-15","3","What DNS records does this domain actually publish?","URL unconfirmed. Covers MX, TXT, CNAME, A per snippet."
